Software,Version,Dependent Toolchain,Module Load Command
zlib,1.2.13,-,`module load zlib/1.2.13`
zlib,1.2.12,-,`module load zlib/1.2.12`
zlib,1.2.11,-,`module load zlib/1.2.11`
ffnvcodec,12.1.14.0,-,`module load ffnvcodec/12.1.14.0`
ffnvcodec,11.1.5.2,-,`module load ffnvcodec/11.1.5.2`
M4,1.4.18,-,`module load M4/1.4.18`
M4,1.4.19,-,`module load M4/1.4.19`
Altair,2023,-,`module load Altair/2023`
CUDA,12.0.0,-,`module load CUDA/12.0.0`
CUDA,12.4.0,-,`module load CUDA/12.4.0`
CUDA,11.4.1,-,`module load CUDA/11.4.1`
gettext,0.21,-,`module load gettext/0.21`
gettext,0.21.1,-,`module load gettext/0.21.1`
gettext,0.22,-,`module load gettext/0.22`
Firefox,44.0.2,-,`module load Firefox/44.0.2`
cuDNN,8.8.0.121-CUDA-12.0.0,-,`module load cuDNN/8.8.0.121-CUDA-12.0.0`
NVHPC,23.1-CUDA-12.0.0,-,`module load NVHPC/23.1-CUDA-12.0.0`
OptiX,6.5.0,-,`module load OptiX/6.5.0`
Autoconf,2.71,-,`module load Autoconf/2.71`
Bison,3.8.2,-,`module load Bison/3.8.2`
Autotools,20220317,-,`module load Autotools/20220317`
apptainer,1.1.9,-,`module load apptainer/1.1.9`
intel,2022b,-,`module load intel/2022b`
intel,2023b,-,`module load intel/2023b`
intel,2022a,-,`module load intel/2022a`
intel,2021b,-,`module load intel/2021b`
ParaView,5.11.2-egl,-,`module load ParaView/5.11.2-egl`
ParaView,5.11.2-osmesa,-,`module load ParaView/5.11.2-osmesa`
ParaView,5.11.0-osmesa,-,`module load ParaView/5.11.0-osmesa`
ParaView,5.11.0-egl,-,`module load ParaView/5.11.0-egl`
Mamba,4.14.0-0,-,`module load Mamba/4.14.0-0`
Maven,3.6.3,-,`module load Maven/3.6.3`
PyCharm,2022.3.2,-,`module load PyCharm/2022.3.2`
DMTCP,3.0.0,-,`module load DMTCP/3.0.0`
DMTCP,2.6.0,-,`module load DMTCP/2.6.0`
flex,2.6.4,-,`module load flex/2.6.4`
Miniforge3,24.1.2-0,-,`module load Miniforge3/24.1.2-0`
foss,2022b,-,`module load foss/2022b`
foss,2023b,-,`module load foss/2023b`
foss,2021b,-,`module load foss/2021b`
EasyBuild,4.8.2,-,`module load EasyBuild/4.8.2`
EasyBuild,4.9.0,-,`module load EasyBuild/4.9.0`
EasyBuild,5.0.0,-,`module load EasyBuild/5.0.0`
EasyBuild,4.8.0,-,`module load EasyBuild/4.8.0`
EasyBuild,4.9.1,-,`module load EasyBuild/4.9.1`
Avogadro2,1.97.0-linux-x86_64,-,`module load Avogadro2/1.97.0-linux-x86_64`
imkl,2022.1.0,-,`module load imkl/2022.1.0`
imkl,2022.2.1,-,`module load imkl/2022.2.1`
imkl,2021.4.0,-,`module load imkl/2021.4.0`
imkl,2023.2.0,-,`module load imkl/2023.2.0`
Automake,1.16.5,-,`module load Automake/1.16.5`
OpenSSL,1.1,-,`module load OpenSSL/1.1`
libtool,2.4.7,-,`module load libtool/2.4.7`
Gaussian,16.C.01-AVX2,-,`module load Gaussian/16.C.01-AVX2`
Gurobi_license,license,-,`module load Gurobi_license/license`
Spack,0.17.2,-,`module load Spack/0.17.2`
Spack,0.20.0,-,`module load Spack/0.20.0`
binutils,2.36.1,-,`module load binutils/2.36.1`
binutils,2.37,-,`module load binutils/2.37`
binutils,2.40,-,`module load binutils/2.40`
binutils,2.38,-,`module load binutils/2.38`
binutils,2.39,-,`module load binutils/2.39`
intel-compilers,2022.2.1,intel/2022b,`module load intel-compilers/2022.2.1`
